SHC_LOCN_NBR,NATL_NBR,SLL_FMT,VP_OVRHD_NBR,RGN_OVRHD_NBR,DM_OVRHD_NBR,LOCN_NBR,LOCN_LVL,FORMAT_TYPE,FORMAT_SUB_TYPE,STR_FMT,ORIG_FACILITY_NBR,ORIG_FACILITY_NBR_INT,AMMC_OVRHD_NBR,AMMC_MGR_NM,RPT_STR_NBR,LOCN_CTY,LOCN_ST_CD,ZIP_CD,ZIP_PLS_4,LOCN_OPN_DT,LOCN_CLS_DT,SHC_LOCN_DESC,NATL_DESC,SLL_FMT_DESC,VP_RGN_NM,RGN_MGR_NM,DM_MGR_NM,LOCN_NM,FMT_TYPE_MOD_CD,STR_TYPE_IND,CRM_FMT_SUB_TYPE,CLIM_ZN_NBR,MERCH_AREA_NBR,MERCH_AREA_NM,SRS_UNIT_LOCN_NBR,STR_OPER_CD,STR_OPER_DESC,LFSTY_CLS_CD,LOCN_CLS_CD
100000,70002,150,80603,79603,78384,5491,50,001,O ,DLR,0003075,3075,0,,5491,CULLMAN,AL,35055,7506,9/27/1993,?,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,SOUTHEAST//HOMETOWN,R9040 EAST,D384 BIRMINGHAM,AUTHORIZED HOMETOWN STORE,  ,?,O ,?,4,SOUTH,0,1,OPEN FOR PROFIT,0,0
100000,70003,250,38830,9033,8560,7947,50,353,  ,DST,0007947,7947,0,,?,LAKE CHARLES,LA,70601,?,2/10/2000,?,SHC NATIONAL LOCATION,DISTR FORMAT,DISTRIBUTION CENTERS,DC STORE ROLLUP-TOP LEVEL,,,LAKE CHARLES - WHSE,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,260,75407,74407,73407,38712,50,450,J ,APO,0038712,38712,0,,38712,ROYAL OAK,MI,48073,1717,3/4/2015,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,SHI LLC - MICHIGAN,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,260,80117,79117,78598,4336,50,450,J ,APO,0008394,8394,0,,8394,SCHAUMBURG,IL,60173,5048,11/28/2005,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,ONLINE SAC/TRAINING,ONLINE AUTO,D598 SAG PBL/SERV,SCHAUMBURG - AUTO PARTS A,  ,?,J ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70003,250,38830,9033,8560,746,50,304,  ,DST,0008146,8146,0,,?,PLAINFIELD,IL,60585,2516,2/16/2010,11/28/2010,SHC NATIONAL LOCATION,DISTR FORMAT,DISTRIBUTION CENTERS,DC STORE ROLLUP-TOP LEVEL,,,DRF-INSTALLERS (CLS 10/11/10),  ,?,  ,?,0,,0,3,UNDEFINED,0,0
100000,70002,260,75407,74407,73407,32703,50,701,  ,LES,0090156,90156,0,,32703,HOFFMAN EST,IL,60179,?,5/1/2003,10/12/2011,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,LE LICENSING,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,110,80297,79297,78297,5539,50,001,B ,FLS,0005539,5539,0,,5539,SOLON,OH,44139,2912,11/18/2006,12/7/2014,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,CLOSED REG/   CLOSED,R9025 CLOSED REGI,D297 CLOSED FLS D,SOLON - B,  ,E,B ,1,7,NORTH CENTRAL,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,80943,79076,78921,9251,50,001,L ,OUT,0009251,9251,0,,9251,RICHMOND,VA,23230,3315,2/24/2013,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,ORDC DIVIS/   FIELD,ORDC EAST REGION,ORDC EAST DISTRIC,RICHMOND - ORDC NON-SELLING,SH,?,L ,?,4,SOUTH,0,1,OPEN FOR PROFIT,0,0
100000,70002,120,80072,79072,78541,6212,50,001,N1,SAC,0006212,6212,0,,1390,ANN ARBOR,MI,48108,1618,1/1/1973,?,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,NORTH EAST/SAC - REG,NORTH EAST REG 9072,CLEVELAND 541,ANN ARBOR-SAC,  ,?,N1,?,7,NORTH CENTRAL,0,1,OPEN FOR PROFIT,0,0
100000,70002,110,80297,79297,78297,2519,50,001,G2,GRD,0002519,2519,0,,2519,SPRING VALLEY,CA,91977,4837,6/15/2005,8/11/2011,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,CLOSED REG/   CLOSED,R9025 CLOSED REGI,D297 CLOSED FLS D,SPRING VALLEY - B,  ,?,G2,?,19,COASTAL DESERT,0,6,CLOSED FOR PROFIT,0,0
100000,70002,120,80073,79073,78512,2620,50,001,N2,SAC,0002620,2620,0,,2620,CROFTON,MD,21114,?,11/7/2006,?,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,SOUTHEAST /SAC - REG,SOUTHEAST 9073,DC 512,CROFTON - SAC,  ,?,N2,?,3,CENTRAL EAST,0,1,OPEN FOR PROFIT,0,0
100000,70002,260,75403,74403,73403,36514,50,700,  ,HDQ,D769RE ,?,0,,36514,HOFFMAN EST,IL,60179,?,12/31/2001,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RSATO     /   SEGMEN,RSATO SEGMENTED A,DSATO SEGMENTED A,SEARS REINS - SNY,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,260,75407,74407,73407,39246,50,450,J ,APO,0039246,39246,0,,39246,HOFFMAN ESTATES,IL,60179,3333,7/18/2012,5/4/2013,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,OFFSET-HARDWARE AA,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,150,80288,79288,78200,5886,50,001,O ,DLR,0003484,3484,0,,5886,WISE,VA,24293,?,6/30/1993,6/22/2015,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,CLOSED DEA/   DEALER,R9288 CLOSED REGION,HOMETOWN STR ROLLUP,AUTHORIZED HOMETOWN STORE,  ,?,O ,?,8,CENTRAL,0,6,CLOSED FOR PROFIT,0,0
