NatlDesc,LocnNbr,StrFmt,LocnCity,LocnStCd,LocnNm,LocnStat,OrigFacilNbr,CloseDT
KMART FORMAT,3009,KMB,TRAVERSE CITY,MI,TRAVERSE CITY MI,OPEN,,-2.2089888E9
KMART FORMAT,3013,KMB,CLEVELAND,OH,CLEVELAND OH,OPEN,,-2.2089888E9
KMART FORMAT,3018,KMB,VALENCIA,CA,VALENCIA CA,OPEN,,-2.2089888E9
KMART FORMAT,3021,KMB,AUBURN,ME,AUBURN ME,OPEN,,-2.2089888E9
KMART FORMAT,3027,KMB,CLEMENTON,NJ,CLEMENTON NJ,OPEN,,-2.2089888E9
KMART FORMAT,3028,KMB,FEASTERVILLE,PA,FEASTERVILLE PA,OPEN,,-2.2089888E9
KMART FORMAT,3029,KMB,ERLANGER,KY,ERLANGER KY,OPEN,,-2.2089888E9
KMART FORMAT,3040,KMB,HYANNIS,MA,HYANNIS MA,OPEN,,-2.2089888E9
KMART FORMAT,3043,KMB,AURORA,CO,AURORA CO,OPEN,,-2.2089888E9
KMART FORMAT,3044,KMB,LAWTON,OK,LAWTON OK,CLOSING,,-2.2089888E9
KMART FORMAT,3047,KMB,SCRANTON,PA,SCRANTON PA,OPEN,,-2.2089888E9
KMART FORMAT,3050,KMB,BRICK,NJ,BRICK NJ,OPEN,,-2.2089888E9
KMART FORMAT,3056,KMB,WAYNE,NJ,WAYNE NJ,OPEN,,-2.2089888E9
KMART FORMAT,3059,KMB,ST PAUL,MN,ST PAUL MN,OPEN,,-2.2089888E9
KMART FORMAT,3060,KMB,MANTUA,NJ,MANTUA NJ,OPEN,,-2.2089888E9
KMART FORMAT,3071,KMB,TOMS RIVER,NJ,TOMS RIVER NJ,OPEN,,-2.2089888E9
KMART FORMAT,3074,KMB,MIAMI,FL,MIAMI FL,OPEN,,-2.2089888E9
KMART FORMAT,3076,KMB,SPRING VALLEY,CA,SPRING VALLEY CA,OPEN,,-2.2089888E9
KMART FORMAT,3082,KMB,DOTHAN,AL,DOTHAN AL,OPEN,,-2.2089888E9
KMART FORMAT,3083,KMB,FORT OGLETHORPE,GA,FORT OGLETHORPE GA,OPEN,,-2.2089888E9
KMART FORMAT,3084,KMB,NASHVILLE,TN,NASHVILLE TN,OPEN,,-2.2089888E9
KMART FORMAT,3086,KMB,CHICO,CA,CHICO CA,OPEN,,-2.2089888E9
KMART FORMAT,3088,KMB,KENOSHA,WI,KENOSHA WI,OPEN,,-2.2089888E9
KMART FORMAT,3093,KMB,CROMWELL,CT,CROMWELL CT,OPEN,,-2.2089888E9
KMART FORMAT,3094,KMB,GREAT FALLS,MT,GREAT FALLS MT,OPEN,,-2.2089888E9
KMART FORMAT,3095,KMB,NORTH LAS VEGAS,NV,NORTH LAS VEGAS NV,OPEN,,-2.2089888E9
