Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
5491,DLR,79603,78384,CULLMAN,AL,35055,7506,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,SOUTHEAST//HOMETOWN,R9040 EAST,1/1/1900,1/1/1900,9/27/1993,D384 BIRMINGHAM,1,AUTH HOMETOWN STORES,Birmingham et al, AL,34.1438,-86.7517,3075,OPEN,5/15/2014 08:56:37,PNADIGE,10/5/2016 13:04:47,MAPMPS_PROD_BCH,,
7947,DST,9033,8560,LAKE CHARLES,LA,70601,?,70003,DISTR FORMAT,LAKE CHARLES - WHSE,DC STORE ROLLUP-TOP LEVEL,,1/1/1900,1/1/1900,2/10/2000,,353,DISTRIBUTION CENTERS,Lake Charles, LA,0,0,7947,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
38712,APO,74407,73407,ROYAL OAK,MI,48073,1717,70002,SEARS FORMAT,SHI LLC - MICHIGAN,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,3/4/2015,OVERHEAD DIST,450,ACCOUNTING UNITS,Detroit, MI,0,0,38712,OPEN,3/7/2015 07:33:46,MOKSHA_PROD_BCH,?,?,,
4336,APO,79117,78598,SCHAUMBURG,IL,60173,5048,70002,SEARS FORMAT,SCHAUMBURG - AUTO PARTS A,ONLINE SAC/TRAINING,ONLINE AUTO,1/1/1900,1/1/1900,11/28/2005,D598 SAG PBL/SERV,450,ACCOUNTING UNITS,Chicago, IL,0,0,8394,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
746,DST,9033,8560,PLAINFIELD,IL,60585,2516,70003,DISTR FORMAT,DRF-INSTALLERS (CLS 10/11/10),DC STORE ROLLUP-TOP LEVEL,,11/28/2010,11/28/2010,2/16/2010,,304,DISTRIBUTION CENTERS,Chicago, IL,0,0,8146,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
32703,LES,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,LE LICENSING,Overhead  /OHD 6,OVERHEAD RGN,10/12/2011,10/12/2011,5/1/2003,OVERHEAD DIST,701,LANDS END STORES,Chicago, IL,0,0,90156,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5539,FLS,79297,78297,SOLON,OH,44139,2912,70002,SEARS FORMAT,SOLON - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,12/7/2014,12/7/2014,11/18/2006,D297 CLOSED FLS D,1,FULL LINE STORES,Cleveland et al, OH,41.3896,-81.4354,5539,CLOSED,5/15/2014 08:56:37,PNADIGE,1/5/2015 02:56:28,MOKSHA_PROD_BCH,,
9251,OUT,79076,78921,RICHMOND,VA,23230,3315,70002,SEARS FORMAT,RICHMOND - ORDC NON-SELLING,ORDC DIVIS/   FIELD,ORDC EAST REGION,1/1/1900,1/1/1900,2/24/2013,ORDC EAST DISTRIC,1,OUTLET STORES,Richmond-Petersburg, VA,37.5834,-77.4815,9251,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
6212,SAC,79072,78541,ANN ARBOR,MI,48108,1618,70002,SEARS FORMAT,ANN ARBOR-SAC,NORTH EAST/SAC - REG,NORTH EAST REG 9072,1/1/1900,1/1/1900,1/1/1973,CLEVELAND 541,1,SEARS AUTO CENTERS,Detroit, MI,42.2398,-83.7441,6212,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
2519,GRD,79297,78297,SPRING VALLEY,CA,91977,4837,70002,SEARS FORMAT,SPRING VALLEY - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,8/11/2011,8/11/2011,6/15/2005,D297 CLOSED FLS D,1,SEARS GRANDS,San Diego, CA,32.7137,-117.0108,2519,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
